560 1200 1800
111 0.0000 -90.0000 30.0000
112 14.0791 -88.8920 10.0000
113 27.8115 -85.5951 10.0000
114 40.8591 -80.1906 30.0000
115 52.9007 -72.8115 30.0000
116 63.6396 -63.6396 10.0000
117 72.8115 -52.9007 10.0000
118 80.1906 -40.8591 30.0000
119 85.5951 -27.8115 30.0000
120 88.8920 -14.0791 10.0000
121 120.0000 0.0000 10.0000
122 118.5226 18.7721 30.0000
123 114.1268 37.0820 30.0000
124 106.9208 54.4789 10.0000
125 97.0820 70.5342 10.0000
126 84.8528 84.8528 30.0000
127 70.5342 97.0820 30.0000
128 54.4789 106.9208 10.0000
129 37.0820 114.1268 10.0000
130 18.7721 118.5226 30.0000
131 0.0000 120.0000 30.0000
132 -18.7721 118.5226 10.0000
133 -37.0820 114.1268 10.0000
134 -54.4789 106.9208 30.0000
135 -70.5342 97.0820 30.0000
136 -84.8528 84.8528 10.0000
137 -97.0820 70.5342 10.0000
138 -106.9208 54.4789 30.0000
139 -114.1268 37.0820 30.0000
140 -118.5226 18.7721 10.0000
141 -120.0000 0.0000 10.0000
142 -118.5226 -18.7721 30.0000
143 -114.1268 -37.0820 30.0000
144 -106.9208 -54.4789 10.0000
145 -97.0820 -70.5342 10.0000
146 -84.8528 -84.8528 30.0000
147 -70.5342 -97.0820 30.0000
148 -54.4789 -106.9208 10.0000
149 -37.0820 -114.1268 10.0000
150 -18.7721 -118.5226 30.0000
151 0.0000 -120.0000 30.0000
152 18.7721 -118.5226 10.0000
153 37.0820 -114.1268 10.0000
154 54.4789 -106.9208 30.0000
155 70.5342 -97.0820 30.0000
156 84.8528 -84.8528 10.0000
157 97.0820 -70.5342 10.0000
158 106.9208 -54.4789 30.0000
159 114.1268 -37.0820 30.0000
160 118.5226 -18.7721 10.0000
161 150.0000 0.0000 10.0000
162 148.1533 23.4652 30.0000
163 142.6585 46.3525 30.0000
164 133.6510 68.0986 10.0000
165 121.3525 88.1678 10.0000
166 106.0660 106.0660 30.0000
167 88.1678 121.3525 30.0000
168 68.0986 133.6510 10.0000
169 46.3525 142.6585 10.0000
170 23.4652 148.1533 30.0000
171 0.0000 150.0000 30.0000
172 -23.4652 148.1533 10.0000
173 -46.3525 142.6585 10.0000
174 -68.0986 133.6510 30.0000
175 -88.1678 121.3525 30.0000
176 -106.0660 106.0660 10.0000
177 -121.3525 88.1678 10.0000
178 -133.6510 68.0986 30.0000
179 -142.6585 46.3525 30.0000
180 -148.1533 23.4652 10.0000
181 -150.0000 0.0000 10.0000
182 -148.1533 -23.4652 30.0000
183 -142.6585 -46.3525 30.0000
184 -133.6510 -68.0986 10.0000
185 -121.3525 -88.1678 10.0000
186 -106.0660 -106.0660 30.0000
187 -88.1678 -121.3525 30.0000
188 -68.0986 -133.6510 10.0000
189 -46.3525 -142.6585 10.0000
190 -23.4652 -148.1533 30.0000
191 0.0000 -150.0000 30.0000
192 23.4652 -148.1533 10.0000
193 46.3525 -142.6585 10.0000
194 68.0986 -133.6510 30.0000
195 88.1678 -121.3525 30.0000
196 106.0660 -106.0660 10.0000
197 121.3525 -88.1678 10.0000
198 133.6510 -68.0986 30.0000
199 142.6585 -46.3525 30.0000
200 148.1533 -23.4652 10.0000
201 180.0000 0.0000 10.0000
202 177.7839 28.1582 30.0000
203 171.1902 55.6231 30.0000
204 160.3812 81.7183 10.0000
205 145.6231 105.8013 10.0000
206 127.2792 127.2792 30.0000
207 105.8013 145.6231 30.0000
208 81.7183 160.3812 10.0000
209 55.6231 171.1902 10.0000
210 28.1582 177.7839 30.0000
211 0.0000 180.0000 30.0000
212 -28.1582 177.7839 10.0000
213 -55.6231 171.1902 10.0000
214 -81.7183 160.3812 30.0000
215 -105.8013 145.6231 30.0000
216 -127.2792 127.2792 10.0000
217 -145.6231 105.8013 10.0000
218 -160.3812 81.7183 30.0000
219 -171.1902 55.6231 30.0000
220 -177.7839 28.1582 10.0000
221 -180.0000 0.0000 10.0000
222 -177.7839 -28.1582 30.0000
223 -171.1902 -55.6231 30.0000
224 -160.3812 -81.7183 10.0000
225 -145.6231 -105.8013 10.0000
226 -127.2792 -127.2792 30.0000
227 -105.8013 -145.6231 30.0000
228 -81.7183 -160.3812 10.0000
229 -55.6231 -171.1902 10.0000
230 -28.1582 -177.7839 30.0000
231 0.0000 -180.0000 30.0000
232 28.1582 -177.7839 10.0000
233 55.6231 -171.1902 10.0000
234 81.7183 -160.3812 30.0000
235 105.8013 -145.6231 30.0000
236 127.2792 -127.2792 10.0000
237 145.6231 -105.8013 10.0000
238 160.3812 -81.7183 30.0000
239 171.1902 -55.6231 30.0000
240 177.7839 -28.1582 10.0000
241 210.0000 0.0000 10.0000
242 207.4146 32.8512 30.0000
243 199.7219 64.8936 30.0000
244 187.1114 95.3380 10.0000
245 169.8936 123.4349 10.0000
246 148.4924 148.4924 30.0000
247 123.4349 169.8936 30.0000
248 95.3380 187.1114 10.0000
249 64.8936 199.7219 10.0000
250 32.8512 207.4146 30.0000
251 0.0000 210.0000 30.0000
252 -32.8512 207.4146 10.0000
253 -64.8936 199.7219 10.0000
254 -95.3380 187.1114 30.0000
255 -123.4349 169.8936 30.0000
256 -148.4924 148.4924 10.0000
257 -169.8936 123.4349 10.0000
258 -187.1114 95.3380 30.0000
259 -199.7219 64.8936 30.0000
260 -207.4146 32.8512 10.0000
261 -210.0000 0.0000 10.0000
262 -207.4146 -32.8512 30.0000
263 -199.7219 -64.8936 30.0000
264 -187.1114 -95.3380 10.0000
265 -169.8936 -123.4349 10.0000
266 -148.4924 -148.4924 30.0000
267 -123.4349 -169.8936 30.0000
268 -95.3380 -187.1114 10.0000
269 -64.8936 -199.7219 10.0000
270 -32.8512 -207.4146 30.0000
271 0.0000 -210.0000 30.0000
272 32.8512 -207.4146 10.0000
273 64.8936 -199.7219 10.0000
274 95.3380 -187.1114 30.0000
275 123.4349 -169.8936 30.0000
276 148.4924 -148.4924 10.0000
277 169.8936 -123.4349 10.0000
278 187.1114 -95.3380 30.0000
279 199.7219 -64.8936 30.0000
280 207.4146 -32.8512 10.0000
281 240.0000 0.0000 10.0000
282 237.0452 37.5443 30.0000
283 228.2536 74.1641 30.0000
284 213.8416 108.9577 10.0000
285 194.1641 141.0685 10.0000
286 169.7056 169.7056 30.0000
287 141.0685 194.1641 30.0000
288 108.9577 213.8416 10.0000
289 74.1641 228.2536 10.0000
290 37.5443 237.0452 30.0000
291 0.0000 240.0000 30.0000
292 -37.5443 237.0452 10.0000
293 -74.1641 228.2536 10.0000
294 -108.9577 213.8416 30.0000
295 -141.0685 194.1641 30.0000
296 -169.7056 169.7056 10.0000
297 -194.1641 141.0685 10.0000
298 -213.8416 108.9577 30.0000
299 -228.2536 74.1641 30.0000
300 -237.0452 37.5443 10.0000
301 -240.0000 0.0000 10.0000
302 -237.0452 -37.5443 30.0000
303 -228.2536 -74.1641 30.0000
304 -213.8416 -108.9577 10.0000
305 -194.1641 -141.0685 10.0000
306 -169.7056 -169.7056 30.0000
307 -141.0685 -194.1641 30.0000
308 -108.9577 -213.8416 10.0000
309 -74.1641 -228.2536 10.0000
310 -37.5443 -237.0452 30.0000
311 0.0000 -240.0000 30.0000
312 37.5443 -237.0452 10.0000
313 74.1641 -228.2536 10.0000
314 108.9577 -213.8416 30.0000
315 141.0685 -194.1641 30.0000
316 169.7056 -169.7056 10.0000
317 194.1641 -141.0685 10.0000
318 213.8416 -108.9577 30.0000
319 228.2536 -74.1641 30.0000
320 237.0452 -37.5443 10.0000
321 270.0000 0.0000 10.0000
322 266.6759 42.2373 30.0000
323 256.7853 83.4346 30.0000
324 240.5718 122.5774 10.0000
325 218.4346 158.7020 10.0000
326 190.9188 190.9188 30.0000
327 158.7020 218.4346 30.0000
328 122.5774 240.5718 10.0000
329 83.4346 256.7853 10.0000
330 42.2373 266.6759 30.0000
331 0.0000 270.0000 30.0000
332 -42.2373 266.6759 10.0000
333 -83.4346 256.7853 10.0000
334 -122.5774 240.5718 30.0000
335 -158.7020 218.4346 30.0000
336 -190.9188 190.9188 10.0000
337 -218.4346 158.7020 10.0000
338 -240.5718 122.5774 30.0000
339 -256.7853 83.4346 30.0000
340 -266.6759 42.2373 10.0000
341 -270.0000 0.0000 10.0000
342 -266.6759 -42.2373 30.0000
343 -256.7853 -83.4346 30.0000
344 -240.5718 -122.5774 10.0000
345 -218.4346 -158.7020 10.0000
346 -190.9188 -190.9188 30.0000
347 -158.7020 -218.4346 30.0000
348 -122.5774 -240.5718 10.0000
349 -83.4346 -256.7853 10.0000
350 -42.2373 -266.6759 30.0000
351 0.0000 -270.0000 30.0000
352 42.2373 -266.6759 10.0000
353 83.4346 -256.7853 10.0000
354 122.5774 -240.5718 30.0000
355 158.7020 -218.4346 30.0000
356 190.9188 -190.9188 10.0000
357 218.4346 -158.7020 10.0000
358 240.5718 -122.5774 30.0000
359 256.7853 -83.4346 30.0000
360 266.6759 -42.2373 10.0000
361 300.0000 0.0000 10.0000
362 296.3065 46.9303 30.0000
363 285.3170 92.7051 30.0000
364 267.3020 136.1971 10.0000
365 242.7051 176.3356 10.0000
366 212.1320 212.1320 30.0000
367 176.3356 242.7051 30.0000
368 136.1971 267.3020 10.0000
369 92.7051 285.3170 10.0000
370 46.9303 296.3065 30.0000
371 0.0000 300.0000 30.0000
372 -46.9303 296.3065 10.0000
373 -92.7051 285.3170 10.0000
374 -136.1971 267.3020 30.0000
375 -176.3356 242.7051 30.0000
376 -212.1320 212.1320 10.0000
377 -242.7051 176.3356 10.0000
378 -267.3020 136.1971 30.0000
379 -285.3170 92.7051 30.0000
380 -296.3065 46.9303 10.0000
381 -300.0000 0.0000 10.0000
382 -296.3065 -46.9303 30.0000
383 -285.3170 -92.7051 30.0000
384 -267.3020 -136.1971 10.0000
385 -242.7051 -176.3356 10.0000
386 -212.1320 -212.1320 30.0000
387 -176.3356 -242.7051 30.0000
388 -136.1971 -267.3020 10.0000
389 -92.7051 -285.3170 10.0000
390 -46.9303 -296.3065 30.0000
391 0.0000 -300.0000 30.0000
392 46.9303 -296.3065 10.0000
393 92.7051 -285.3170 10.0000
394 136.1971 -267.3020 30.0000
395 176.3356 -242.7051 30.0000
396 212.1320 -212.1320 10.0000
397 242.7051 -176.3356 10.0000
398 267.3020 -136.1971 30.0000
399 285.3170 -92.7051 30.0000
400 296.3065 -46.9303 10.0000
401 330.0000 0.0000 10.0000
402 325.9372 51.6234 30.0000
403 313.8487 101.9756 30.0000
404 294.0322 149.8169 10.0000
405 266.9756 193.9691 10.0000
406 233.3452 233.3452 30.0000
407 193.9691 266.9756 30.0000
408 149.8169 294.0322 10.0000
409 101.9756 313.8487 10.0000
410 51.6234 325.9372 30.0000
411 0.0000 330.0000 30.0000
412 -51.6234 325.9372 10.0000
413 -101.9756 313.8487 10.0000
414 -149.8169 294.0322 30.0000
415 -193.9691 266.9756 30.0000
416 -233.3452 233.3452 10.0000
417 -266.9756 193.9691 10.0000
418 -294.0322 149.8169 30.0000
419 -313.8487 101.9756 30.0000
420 -325.9372 51.6234 10.0000
421 -330.0000 0.0000 10.0000
422 -325.9372 -51.6234 30.0000
423 -313.8487 -101.9756 30.0000
424 -294.0322 -149.8169 10.0000
425 -266.9756 -193.9691 10.0000
426 -233.3452 -233.3452 30.0000
427 -193.9691 -266.9756 30.0000
428 -149.8169 -294.0322 10.0000
429 -101.9756 -313.8487 10.0000
430 -51.6234 -325.9372 30.0000
431 0.0000 -330.0000 30.0000
432 51.6234 -325.9372 10.0000
433 101.9756 -313.8487 10.0000
434 149.8169 -294.0322 30.0000
435 193.9691 -266.9756 30.0000
436 233.3452 -233.3452 10.0000
437 266.9756 -193.9691 10.0000
438 294.0322 -149.8169 30.0000
439 313.8487 -101.9756 30.0000
440 325.9372 -51.6234 10.0000
441 360.0000 0.0000 10.0000
442 355.5678 56.3164 30.0000
443 342.3803 111.2461 30.0000
444 320.7623 163.4366 10.0000
445 291.2461 211.6027 10.0000
446 254.5584 254.5584 30.0000
447 211.6027 291.2461 30.0000
448 163.4366 320.7623 10.0000
449 111.2461 342.3803 10.0000
450 56.3164 355.5678 30.0000
451 0.0000 360.0000 30.0000
452 -56.3164 355.5678 10.0000
453 -111.2461 342.3803 10.0000
454 -163.4366 320.7623 30.0000
455 -211.6027 291.2461 30.0000
456 -254.5584 254.5584 10.0000
457 -291.2461 211.6027 10.0000
458 -320.7623 163.4366 30.0000
459 -342.3803 111.2461 30.0000
460 -355.5678 56.3164 10.0000
461 -360.0000 0.0000 10.0000
462 -355.5678 -56.3164 30.0000
463 -342.3803 -111.2461 30.0000
464 -320.7623 -163.4366 10.0000
465 -291.2461 -211.6027 10.0000
466 -254.5584 -254.5584 30.0000
467 -211.6027 -291.2461 30.0000
468 -163.4366 -320.7623 10.0000
469 -111.2461 -342.3803 10.0000
470 -56.3164 -355.5678 30.0000
471 0.0000 -360.0000 30.0000
472 56.3164 -355.5678 10.0000
473 111.2461 -342.3803 10.0000
474 163.4366 -320.7623 30.0000
475 211.6027 -291.2461 30.0000
476 254.5584 -254.5584 10.0000
477 291.2461 -211.6027 10.0000
478 320.7623 -163.4366 30.0000
479 342.3803 -111.2461 30.0000
480 355.5678 -56.3164 10.0000
481 390.0000 0.0000 10.0000
482 385.1985 61.0094 30.0000
483 370.9120 120.5166 30.0000
484 347.4925 177.0563 10.0000
485 315.5166 229.2362 10.0000
486 275.7716 275.7716 30.0000
487 229.2362 315.5166 30.0000
488 177.0563 347.4925 10.0000
489 120.5166 370.9120 10.0000
490 61.0094 385.1985 30.0000
491 0.0000 390.0000 30.0000
492 -61.0094 385.1985 10.0000
493 -120.5166 370.9120 10.0000
494 -177.0563 347.4925 30.0000
495 -229.2362 315.5166 30.0000
496 -275.7716 275.7716 10.0000
497 -315.5166 229.2362 10.0000
498 -347.4925 177.0563 30.0000
499 -370.9120 120.5166 30.0000
500 -385.1985 61.0094 10.0000
501 -390.0000 0.0000 10.0000
502 -385.1985 -61.0094 30.0000
503 -370.9120 -120.5166 30.0000
504 -347.4925 -177.0563 10.0000
505 -315.5166 -229.2362 10.0000
506 -275.7716 -275.7716 30.0000
507 -229.2362 -315.5166 30.0000
508 -177.0563 -347.4925 10.0000
509 -120.5166 -370.9120 10.0000
510 -61.0094 -385.1985 30.0000
511 0.0000 -390.0000 30.0000
512 61.0094 -385.1985 10.0000
513 120.5166 -370.9120 10.0000
514 177.0563 -347.4925 30.0000
515 229.2362 -315.5166 30.0000
516 275.7716 -275.7716 10.0000
517 315.5166 -229.2362 10.0000
518 347.4925 -177.0563 30.0000
519 370.9120 -120.5166 30.0000
520 385.1985 -61.0094 10.0000
521 420.0000 0.0000 10.0000
522 414.8291 65.7025 30.0000
523 399.4437 129.7871 30.0000
524 374.2227 190.6760 10.0000
525 339.7871 246.8698 10.0000
526 296.9848 296.9848 30.0000
527 246.8698 339.7871 30.0000
528 190.6760 374.2227 10.0000
529 129.7871 399.4437 10.0000
530 65.7025 414.8291 30.0000
531 0.0000 420.0000 30.0000
532 -65.7025 414.8291 10.0000
533 -129.7871 399.4437 10.0000
534 -190.6760 374.2227 30.0000
535 -246.8698 339.7871 30.0000
536 -296.9848 296.9848 10.0000
537 -339.7871 246.8698 10.0000
538 -374.2227 190.6760 30.0000
539 -399.4437 129.7871 30.0000
540 -414.8291 65.7025 10.0000
541 -420.0000 0.0000 10.0000
542 -414.8291 -65.7025 30.0000
543 -399.4437 -129.7871 30.0000
544 -374.2227 -190.6760 10.0000
545 -339.7871 -246.8698 10.0000
546 -296.9848 -296.9848 30.0000
547 -246.8698 -339.7871 30.0000
548 -190.6760 -374.2227 10.0000
549 -129.7871 -399.4437 10.0000
550 -65.7025 -414.8291 30.0000
551 0.0000 -420.0000 30.0000
552 65.7025 -414.8291 10.0000
553 129.7871 -399.4437 10.0000
554 190.6760 -374.2227 30.0000
555 246.8698 -339.7871 30.0000
556 296.9848 -296.9848 10.0000
557 339.7871 -246.8698 10.0000
558 374.2227 -190.6760 30.0000
559 399.4437 -129.7871 30.0000
560 414.8291 -65.7025 10.0000
